Rank,ÿÿÿWord,Part of speech,Frequency,Dispersion
1,ÿÿÿthe,a,22038615,0.98
2,ÿÿÿbe,v,12545825,0.97
3,ÿÿÿand,c,10741073,0.99
4,ÿÿÿof,i,10343885,0.97
5,ÿÿÿa,a,10144200,0.98
6,ÿÿÿin,i,6996437,0.98
7,ÿÿÿto,t,6332195,0.98
8,ÿÿÿhave,v,4303955,0.97
9,ÿÿÿto,i,3856916,0.99
10,ÿÿÿit,p,3872477,0.96
11,ÿÿÿI,p,3978265,0.93
12,ÿÿÿthat,c,3430996,0.97
13,ÿÿÿfor,i,3281454,0.98
14,ÿÿÿyou,p,3081151,0.92
15,ÿÿÿhe,p,2909254,0.94
16,ÿÿÿwith,i,2683014,0.99
17,ÿÿÿon,i,2485306,0.99
18,ÿÿÿdo,v,2573587,0.95
19,ÿÿÿsay,v,1915138,0.95
20,ÿÿÿthis,d,1885366,0.96
21,ÿÿÿthey,p,1865580,0.96
22,ÿÿÿat,i,1767638,0.98
23,ÿÿÿbut,c,1776767,0.97
24,ÿÿÿwe,p,1820935,0.94
25,ÿÿÿhis,a,1801708,0.95
26,ÿÿÿfrom,i,1635914,0.99
27,ÿÿÿthat,d,1712406,0.94
28,ÿÿÿnot,x,1638830,0.98
29,ÿÿÿn't,x,1619007,0.97
30,ÿÿÿby,i,1490548,0.96
31,ÿÿÿshe,p,1484869,0.91
32,ÿÿÿor,c,1379320,0.97
33,ÿÿÿas,c,1296879,0.98
34,ÿÿÿwhat,d,1181023,0.94
35,ÿÿÿgo,v,1151045,0.93
36,ÿÿÿtheir,a,1083029,0.97
37,ÿÿÿcan,v,1022775,0.98
38,ÿÿÿwho,p,1018283,0.97
39,ÿÿÿget,v,992596,0.94
40,ÿÿÿif,c,933542,0.97
41,ÿÿÿwould,v,925515,0.97
42,ÿÿÿher,a,969591,0.91
43,ÿÿÿall,d,892102,0.98
44,ÿÿÿmy,a,919821,0.93
45,ÿÿÿmake,v,857168,0.98
46,ÿÿÿabout,i,874406,0.96
47,ÿÿÿknow,v,892535,0.93
48,ÿÿÿwill,v,824568,0.97
49,ÿÿÿas,i,829018,0.95
50,ÿÿÿup,r,795534,0.95
51,ÿÿÿone,m,768232,0.98
52,ÿÿÿtime,n,764657,0.98
53,ÿÿÿthere,e,784528,0.96
54,ÿÿÿyear,n,769254,0.96
55,ÿÿÿso,r,756550,0.95
56,ÿÿÿthink,v,772787,0.91
57,ÿÿÿwhen,c,678626,0.98
58,ÿÿÿwhich,d,685982,0.96
59,ÿÿÿthem,p,677870,0.97
60,ÿÿÿsome,d,674193,0.98
61,ÿÿÿme,p,709623,0.92
62,ÿÿÿpeople,n,691468,0.95
63,ÿÿÿtake,v,670745,0.97
64,ÿÿÿout,r,678603,0.96
65,ÿÿÿinto,i,668172,0.97
66,ÿÿÿjust,r,677711,0.94
67,ÿÿÿsee,v,663645,0.96
68,ÿÿÿhim,p,677707,0.92
69,ÿÿÿyour,a,659622,0.94
70,ÿÿÿcome,v,628254,0.95
71,ÿÿÿcould,v,617932,0.96
72,ÿÿÿnow,r,605997,0.94
73,ÿÿÿthan,c,579757,0.97
74,ÿÿÿlike,i,568850,0.96
75,ÿÿÿother,j,547799,0.97
76,ÿÿÿhow,r,538893,0.97
77,ÿÿÿthen,r,543977,0.95
78,ÿÿÿits,a,539719,0.96
79,ÿÿÿour,a,525107,0.97
80,ÿÿÿtwo,m,511027,0.99
81,ÿÿÿmore,r,517536,0.97
82,ÿÿÿthese,d,513864,0.95
83,ÿÿÿwant,v,514972,0.95
84,ÿÿÿway,n,470401,0.98
85,ÿÿÿlook,v,491707,0.93
86,ÿÿÿfirst,m,463566,0.98
87,ÿÿÿalso,r,464606,0.96
88,ÿÿÿnew,j,435993,0.97
89,ÿÿÿbecause,c,438539,0.96
90,ÿÿÿday,n,432773,0.97
91,ÿÿÿmore,d,420170,0.97
92,ÿÿÿuse,v,420781,0.96
93,ÿÿÿno,a,402222,0.98
94,ÿÿÿman,n,409760,0.95
95,ÿÿÿfind,v,395203,0.98
96,ÿÿÿhere,r,412315,0.93
97,ÿÿÿthing,n,400724,0.94
98,ÿÿÿgive,v,384503,0.98
99,ÿÿÿmany,d,385348,0.97
100,ÿÿÿwell,r,411776,0.91
101,ÿÿÿonly,r,379574,0.98
102,ÿÿÿthose,d,378007,0.97
103,ÿÿÿtell,v,388155,0.94
104,ÿÿÿone,p,369553,0.98
105,ÿÿÿvery,r,391821,0.92
106,ÿÿÿher,p,397950,0.89
