Rank,Word,Part of speech,Frequency,Dispersion
1,the,a,22038615,0.98
2,be,v,12545825,0.97
3,and,c,10741073,0.99
4,of,i,10343885,0.97
5,a,a,10144200,0.98
6,in,i,6996437,0.98
7,to,t,6332195,0.98
8,have,v,4303955,0.97
9,to,i,3856916,0.99
10,it,p,3872477,0.96
11,i,p,3978265,0.93
12,that,c,3430996,0.97
13,for,i,3281454,0.98
14,you,p,3081151,0.92
15,he,p,2909254,0.94
16,with,i,2683014,0.99
17,on,i,2485306,0.99
18,do,v,2573587,0.95
19,say,v,1915138,0.95
20,this,d,1885366,0.96
21,they,p,1865580,0.96
22,at,i,1767638,0.98
23,but,c,1776767,0.97
24,we,p,1820935,0.94
25,his,a,1801708,0.95
26,from,i,1635914,0.99
27,that,d,1712406,0.94
28,not,x,1638830,0.98
29,n't,x,1619007,0.97
30,by,i,1490548,0.96
31,she,p,1484869,0.91
32,or,c,1379320,0.97
33,as,c,1296879,0.98
34,what,d,1181023,0.94
35,go,v,1151045,0.93
36,their,a,1083029,0.97
37,can,v,1022775,0.98
38,who,p,1018283,0.97
39,get,v,992596,0.94
40,if,c,933542,0.97
41,would,v,925515,0.97
42,her,a,969591,0.91
43,all,d,892102,0.98
44,my,a,919821,0.93
45,make,v,857168,0.98
46,about,i,874406,0.96
47,know,v,892535,0.93
48,will,v,824568,0.97
49,as,i,829018,0.95
50,up,r,795534,0.95
51,one,m,768232,0.98
52,time,n,764657,0.98
53,there,e,784528,0.96
54,year,n,769254,0.96
55,so,r,756550,0.95
56,think,v,772787,0.91
57,when,c,678626,0.98
58,which,d,685982,0.96
59,them,p,677870,0.97
60,some,d,674193,0.98
61,me,p,709623,0.92
62,people,n,691468,0.95
63,take,v,670745,0.97
64,out,r,678603,0.96
65,into,i,668172,0.97
66,just,r,677711,0.94
67,see,v,663645,0.96
68,him,p,677707,0.92
69,your,a,659622,0.94
70,come,v,628254,0.95
71,could,v,617932,0.96
72,now,r,605997,0.94
73,than,c,579757,0.97
74,like,i,568850,0.96
75,other,j,547799,0.97
76,how,r,538893,0.97
77,then,r,543977,0.95
78,its,a,539719,0.96
79,our,a,525107,0.97
80,two,m,511027,0.99
81,more,r,517536,0.97
82,these,d,513864,0.95
83,want,v,514972,0.95
84,way,n,470401,0.98
85,look,v,491707,0.93
86,first,m,463566,0.98
87,also,r,464606,0.96
88,new,j,435993,0.97
89,because,c,438539,0.96
90,day,n,432773,0.97
91,more,d,420170,0.97
92,use,v,420781,0.96
93,no,a,402222,0.98
94,man,n,409760,0.95
95,find,v,395203,0.98
96,here,r,412315,0.93
97,thing,n,400724,0.94
98,give,v,384503,0.98
99,many,d,385348,0.97
100,well,r,411776,0.91
